scanID	Sup_pop	Sub_pop
HG00864	EAS	CDX
HG00879	EAS	CDX
HG00881	EAS	CDX
HG00956	EAS	CDX
HG00978	EAS	CDX
HG00982	EAS	CDX
HG01028	EAS	CDX
HG01029	EAS	CDX
HG01031	EAS	CDX
HG01046	EAS	CDX
HG01047	AMR	PUR
HG01048	AMR	PUR
HG01049	AMR	PUR
HG01051	AMR	PUR
HG01052	AMR	PUR
HG01054	AMR	PUR
HG01055	AMR	PUR
HG01058	AMR	PUR
HG01060	AMR	PUR
HG01061	AMR	PUR
HG01063	AMR	PUR
HG01064	AMR	PUR
HG01066	AMR	PUR
HG01067	AMR	PUR
HG01069	AMR	PUR
HG01070	AMR	PUR
HG01072	AMR	PUR
HG01073	AMR	PUR
HG01075	AMR	PUR
HG01077	AMR	PUR
HG01079	AMR	PUR
HG01080	AMR	PUR
HG01082	AMR	PUR
HG01083	AMR	PUR
HG01085	AMR	PUR
HG01086	AMR	PUR
HG01088	AMR	PUR
HG01089	AMR	PUR
HG01092	AMR	PUR
HG01094	AMR	PUR
HG01095	AMR	PUR
HG01097	AMR	PUR
HG01098	AMR	PUR
HG01101	AMR	PUR
HG01102	AMR	PUR
HG01104	AMR	PUR
HG01105	AMR	PUR
HG01107	AMR	PUR
HG01108	AMR	PUR
HG01110	AMR	PUR
HG01111	AMR	PUR
HG01112	AMR	CLM
HG01113	AMR	CLM
HG01119	AMR	CLM
HG01121	AMR	CLM
HG01122	AMR	CLM
HG01124	AMR	CLM
HG01125	AMR	CLM
HG01130	AMR	CLM
HG01131	AMR	CLM
HG01133	AMR	CLM
HG01134	AMR	CLM
HG01136	AMR	CLM
HG01137	AMR	CLM
HG01139	AMR	CLM
HG01140	AMR	CLM
HG01142	AMR	CLM
HG01148	AMR	CLM
HG01149	AMR	CLM
HG01161	AMR	PUR
HG01162	AMR	PUR
HG01164	AMR	PUR
HG01167	AMR	PUR
HG01168	AMR	PUR
HG01170	AMR	PUR
HG01171	AMR	PUR
HG01173	AMR	PUR
HG01174	AMR	PUR
HG01176	AMR	PUR
HG01177	AMR	PUR
HG01182	AMR	PUR
HG01183	AMR	PUR
HG01187	AMR	PUR
HG01188	AMR	PUR
HG01190	AMR	PUR
HG01191	AMR	PUR
HG01197	AMR	PUR
HG01198	AMR	PUR
HG01200	AMR	PUR
HG01204	AMR	PUR
HG01205	AMR	PUR
HG01241	AMR	PUR
HG01242	AMR	PUR
HG01247	AMR	PUR
HG01248	AMR	PUR
HG01250	AMR	CLM
HG01251	AMR	CLM
HG01253	AMR	CLM
HG01254	AMR	CLM
HG01256	AMR	CLM
HG01257	AMR	CLM
HG01259	AMR	CLM
HG01260	AMR	CLM
HG01269	AMR	CLM
HG01271	AMR	CLM
HG01272	AMR	CLM
HG01275	AMR	CLM
HG01277	AMR	CLM
HG01280	AMR	CLM
HG01281	AMR	CLM
HG01284	AMR	CLM
HG01286	AMR	PUR
HG01302	AMR	PUR
HG01303	AMR	PUR
HG01305	AMR	PUR
HG01308	AMR	PUR
HG01311	AMR	PUR
HG01312	AMR	PUR
HG01323	AMR	PUR
HG01325	AMR	PUR
HG01326	AMR	PUR
HG01334	EUR	GBR
HG01341	AMR	CLM
HG01342	AMR	CLM
HG01344	AMR	CLM
HG01345	AMR	CLM
HG01348	AMR	CLM
HG01350	AMR	CLM
HG01351	AMR	CLM
HG01353	AMR	CLM
HG01354	AMR	CLM
HG01356	AMR	CLM
HG01357	AMR	CLM
HG01359	AMR	CLM
HG01360	AMR	CLM
HG01362	AMR	CLM
HG01363	AMR	CLM
HG01365	AMR	CLM
HG01366	AMR	CLM
HG01369	AMR	CLM
HG01372	AMR	CLM
HG01374	AMR	CLM
HG01375	AMR	CLM
HG01377	AMR	CLM
HG01378	AMR	CLM
HG01383	AMR	CLM
HG01384	AMR	CLM
HG01389	AMR	CLM
HG01390	AMR	CLM
HG01392	AMR	PUR
HG01393	AMR	PUR
HG01395	AMR	PUR
HG01396	AMR	PUR
HG01398	AMR	PUR
HG01402	AMR	PUR
HG01403	AMR	PUR
HG01405	AMR	PUR
HG01412	AMR	PUR
HG01413	AMR	PUR
HG01414	AMR	PUR
HG01431	AMR	CLM
HG01432	AMR	CLM
HG01435	AMR	CLM
HG01437	AMR	CLM
HG01438	AMR	CLM
HG01440	AMR	CLM
HG01441	AMR	CLM
HG01443	AMR	CLM
HG01444	AMR	CLM
HG01447	AMR	CLM
HG01455	AMR	CLM
HG01456	AMR	CLM
HG01459	AMR	CLM
HG01461	AMR	CLM
HG01462	AMR	CLM
HG01464	AMR	CLM
HG01465	AMR	CLM
HG01468	AMR	CLM
HG01474	AMR	CLM
HG01479	AMR	CLM
HG01485	AMR	CLM
HG01486	AMR	CLM
HG01488	AMR	CLM
HG01489	AMR	CLM
HG01491	AMR	CLM
HG01492	AMR	CLM
HG01494	AMR	CLM
HG01495	AMR	CLM
HG01497	AMR	CLM
HG01498	AMR	CLM
HG01500	EUR	IBS
HG01501	EUR	IBS
HG01503	EUR	IBS
HG01504	EUR	IBS
HG01506	EUR	IBS
HG01507	EUR	IBS
HG01509	EUR	IBS
HG01510	EUR	IBS
HG01512	EUR	IBS
HG01513	EUR	IBS
HG01515	EUR	IBS
HG01516	EUR	IBS
HG01518	EUR	IBS
HG01519	EUR	IBS
HG01521	EUR	IBS
HG01522	EUR	IBS
HG01524	EUR	IBS
HG01525	EUR	IBS
HG01527	EUR	IBS
HG01528	EUR	IBS
HG01530	EUR	IBS
HG01531	EUR	IBS
HG01536	EUR	IBS
HG01537	EUR	IBS
HG01550	AMR	CLM
HG01551	AMR	CLM
HG01556	AMR	CLM
HG01565	AMR	PEL
HG01566	AMR	PEL
HG01571	AMR	PEL
HG01572	AMR	PEL
HG01577	AMR	PEL
HG01578	AMR	PEL
HG01583	SAS	PJL
HG01586	SAS	PJL
HG01589	SAS	PJL
HG01593	SAS	PJL
HG01595	EAS	KHV
HG01596	EAS	KHV
HG01597	EAS	KHV
HG01598	EAS	KHV
HG01599	EAS	KHV
HG01600	EAS	KHV
HG01602	EUR	IBS
HG01603	EUR	IBS
HG01605	EUR	IBS
HG01606	EUR	IBS
HG01607	EUR	IBS
HG01608	EUR	IBS
HG01610	EUR	IBS
HG01612	EUR	IBS
HG01613	EUR	IBS
HG01615	EUR	IBS
HG01617	EUR	IBS
HG01618	EUR	IBS
HG01619	EUR	IBS
HG01620	EUR	IBS
HG01623	EUR	IBS
HG01624	EUR	IBS
HG01625	EUR	IBS
HG01626	EUR	IBS
HG01628	EUR	IBS
HG01630	EUR	IBS
HG01631	EUR	IBS
HG01632	EUR	IBS
HG01668	EUR	IBS
HG01669	EUR	IBS
HG01670	EUR	IBS
HG01672	EUR	IBS
HG01673	EUR	IBS
HG01675	EUR	IBS
HG01676	EUR	IBS
HG01678	EUR	IBS
HG01679	EUR	IBS
HG01680	EUR	IBS
HG01682	EUR	IBS
HG01684	EUR	IBS
HG01685	EUR	IBS
HG01686	EUR	IBS
HG01694	EUR	IBS
HG01695	EUR	IBS
HG01697	EUR	IBS
HG01699	EUR	IBS
HG01700	EUR	IBS
HG01702	EUR	IBS
HG01704	EUR	IBS
HG01705	EUR	IBS
HG01707	EUR	IBS
HG01708	EUR	IBS
HG01709	EUR	IBS
HG01710	EUR	IBS
HG01746	EUR	IBS
HG01747	EUR	IBS
HG01756	EUR	IBS
HG01757	EUR	IBS
HG01761	EUR	IBS
HG01762	EUR	IBS
HG01765	EUR	IBS
HG01766	EUR	IBS
HG01767	EUR	IBS
HG01768	EUR	IBS
HG01770	EUR	IBS
HG01771	EUR	IBS
HG01773	EUR	IBS
HG01775	EUR	IBS
HG01776	EUR	IBS
HG01777	EUR	IBS
HG01779	EUR	IBS
HG01781	EUR	IBS
HG01783	EUR	IBS
HG01784	EUR	IBS
HG01785	EUR	IBS
HG01786	EUR	IBS
HG01789	EUR	GBR
HG01790	EUR	GBR
HG01791	EUR	GBR
HG01794	EAS	CDX
HG01795	EAS	CDX
HG01796	EAS	CDX
HG01797	EAS	CDX
HG01798	EAS	CDX
HG01799	EAS	CDX
HG01800	EAS	CDX
HG01801	EAS	CDX
HG01802	EAS	CDX
HG01804	EAS	CDX
HG01805	EAS	CDX
HG01806	EAS	CDX
HG01807	EAS	CDX
HG01808	EAS	CDX
HG01809	EAS	CDX
HG01810	EAS	CDX
HG01811	EAS	CDX
HG01812	EAS	CDX
HG01813	EAS	CDX
HG01815	EAS	CDX
HG01816	EAS	CDX
HG01817	EAS	CDX
HG01840	EAS	KHV
HG01841	EAS	KHV
HG01842	EAS	KHV
HG01843	EAS	KHV
HG01844	EAS	KHV
HG01845	EAS	KHV
HG01846	EAS	KHV
HG01847	EAS	KHV
HG01848	EAS	KHV
HG01849	EAS	KHV
HG01850	EAS	KHV
HG01851	EAS	KHV
HG01852	EAS	KHV
HG01853	EAS	KHV
HG01855	EAS	KHV
HG01857	EAS	KHV
HG01858	EAS	KHV
HG01859	EAS	KHV
HG01860	EAS	KHV
HG01861	EAS	KHV
HG01862	EAS	KHV
HG01863	EAS	KHV
HG01864	EAS	KHV
HG01865	EAS	KHV
HG01866	EAS	KHV
HG01867	EAS	KHV
HG01868	EAS	KHV
HG01869	EAS	KHV
HG01870	EAS	KHV
HG01871	EAS	KHV
HG01872	EAS	KHV
HG01873	EAS	KHV
HG01874	EAS	KHV
HG01878	EAS	KHV
HG01879	AFR	ACB
HG01880	AFR	ACB
HG01882	AFR	ACB
HG01883	AFR	ACB
HG01885	AFR	ACB
HG01886	AFR	ACB
HG01889	AFR	ACB
HG01890	AFR	ACB
HG01892	AMR	PEL
HG01893	AMR	PEL
HG01894	AFR	ACB
HG01896	AFR	ACB
HG01912	AFR	ACB
HG01914	AFR	ACB
HG01915	AFR	ACB
HG01917	AMR	PEL
HG01918	AMR	PEL
HG01920	AMR	PEL
HG01921	AMR	PEL
HG01923	AMR	PEL
HG01924	AMR	PEL
HG01926	AMR	PEL
HG01927	AMR	PEL
HG01932	AMR	PEL
HG01933	AMR	PEL
HG01935	AMR	PEL
HG01936	AMR	PEL
HG01938	AMR	PEL
HG01939	AMR	PEL
HG01941	AMR	PEL
HG01942	AMR	PEL
HG01944	AMR	PEL
HG01945	AMR	PEL
HG01947	AMR	PEL
HG01948	AMR	PEL
HG01950	AMR	PEL
HG01951	AMR	PEL
HG01953	AMR	PEL
HG01954	AMR	PEL
HG01956	AFR	ACB
HG01958	AFR	ACB
HG01961	AMR	PEL
HG01965	AMR	PEL
HG01967	AMR	PEL
HG01968	AMR	PEL
HG01970	AMR	PEL
HG01971	AMR	PEL
HG01973	AMR	PEL
HG01974	AMR	PEL
HG01976	AMR	PEL
HG01977	AMR	PEL
HG01979	AMR	PEL
HG01980	AMR	PEL
HG01982	AMR	PEL
HG01985	AFR	ACB
HG01986	AFR	ACB
HG01988	AFR	ACB
HG01989	AFR	ACB
HG01990	AFR	ACB
HG01991	AMR	PEL
HG01992	AMR	PEL
HG01997	AMR	PEL
HG02002	AMR	PEL
HG02003	AMR	PEL
HG02006	AMR	PEL
HG02008	AMR	PEL
HG02009	AFR	ACB
HG02010	AFR	ACB
HG02012	AFR	ACB
HG02013	AFR	ACB
HG02014	AFR	ACB
HG02016	EAS	KHV
HG02017	EAS	KHV
HG02019	EAS	KHV
HG02020	EAS	KHV
HG02023	EAS	KHV
HG02025	EAS	KHV
HG02026	EAS	KHV
HG02028	EAS	KHV
HG02029	EAS	KHV
HG02031	EAS	KHV
HG02032	EAS	KHV
HG02035	EAS	KHV
HG02040	EAS	KHV
HG02047	EAS	KHV
HG02048	EAS	KHV
HG02049	EAS	KHV
HG02050	EAS	KHV
HG02051	AFR	ACB
HG02052	AFR	ACB
HG02053	AFR	ACB
HG02054	AFR	ACB
HG02057	EAS	KHV
HG02058	EAS	KHV
HG02060	EAS	KHV
HG02061	EAS	KHV
HG02064	EAS	KHV
HG02067	EAS	KHV
HG02069	EAS	KHV
HG02070	EAS	KHV
HG02072	EAS	KHV
HG02073	EAS	KHV
HG02075	EAS	KHV
HG02076	EAS	KHV
HG02078	EAS	KHV
HG02079	EAS	KHV
HG02081	EAS	KHV
HG02082	EAS	KHV
HG02084	EAS	KHV
HG02085	EAS	KHV
HG02086	EAS	KHV
HG02087	EAS	KHV
HG02088	EAS	KHV
HG02089	AMR	PEL
HG02090	AMR	PEL
HG02095	AFR	ACB
HG02102	AMR	PEL
HG02104	AMR	PEL
HG02105	AMR	PEL
HG02107	AFR	ACB
HG02108	AFR	ACB
HG02111	AFR	ACB
HG02113	EAS	KHV
HG02116	EAS	KHV
HG02121	EAS	KHV
HG02122	EAS	KHV
HG02127	EAS	KHV
HG02128	EAS	KHV
HG02130	EAS	KHV
HG02131	EAS	KHV
HG02133	EAS	KHV
HG02134	EAS	KHV
HG02136	EAS	KHV
HG02137	EAS	KHV
HG02138	EAS	KHV
HG02139	EAS	KHV
HG02140	EAS	KHV
HG02141	EAS	KHV
HG02142	EAS	KHV
HG02143	AFR	ACB
HG02144	AFR	ACB
HG02146	AMR	PEL
HG02147	AMR	PEL
HG02150	AMR	PEL
HG02151	EAS	CDX
HG02152	EAS	CDX
HG02153	EAS	CDX
HG02154	EAS	CDX
HG02155	EAS	CDX
HG02156	EAS	CDX
HG02164	EAS	CDX
HG02165	EAS	CDX
HG02166	EAS	CDX
HG02178	EAS	CDX
HG02179	EAS	CDX
HG02180	EAS	CDX
HG02181	EAS	CDX
HG02182	EAS	CDX
HG02184	EAS	CDX
HG02185	EAS	CDX
HG02186	EAS	CDX
HG02187	EAS	CDX
HG02188	EAS	CDX
HG02190	EAS	CDX
HG02215	EUR	GBR
HG02219	EUR	IBS
HG02220	EUR	IBS
HG02221	EUR	IBS
HG02223	EUR	IBS
HG02224	EUR	IBS
HG02230	EUR	IBS
HG02231	EUR	IBS
HG02232	EUR	IBS
HG02233	EUR	IBS
HG02235	EUR	IBS
HG02236	EUR	IBS
HG02238	EUR	IBS
HG02239	EUR	IBS
HG02250	EAS	CDX
HG02252	AMR	PEL
HG02253	AMR	PEL
HG02255	AFR	ACB
HG02256	AFR	ACB
HG02259	AMR	PEL
HG02260	AMR	PEL
HG02262	AMR	PEL
HG02265	AMR	PEL
HG02266	AMR	PEL
HG02271	AMR	PEL
HG02272	AMR	PEL
HG02274	AMR	PEL
HG02275	AMR	PEL
HG02277	AMR	PEL
HG02278	AMR	PEL
HG02281	AFR	ACB
HG02282	AFR	ACB
HG02283	AFR	ACB
HG02284	AFR	ACB
HG02285	AMR	PEL
HG02286	AMR	PEL
HG02291	AMR	PEL
HG02292	AMR	PEL
HG02298	AMR	PEL
HG02299	AMR	PEL
HG02301	AMR	PEL
HG02304	AMR	PEL
HG02307	AFR	ACB
HG02308	AFR	ACB
HG02309	AFR	ACB
HG02312	AMR	PEL
HG02314	AFR	ACB
HG02315	AFR	ACB
HG02317	AFR	ACB
HG02318	AFR	ACB
HG02322	AFR	ACB
HG02323	AFR	ACB
HG02325	AFR	ACB
HG02330	AFR	ACB
HG02332	AFR	ACB
HG02334	AFR	ACB
HG02337	AFR	ACB
HG02339	AFR	ACB
HG02343	AFR	ACB
HG02345	AMR	PEL
HG02348	AMR	PEL
HG02351	EAS	CDX
HG02353	EAS	CDX
HG02355	EAS	CDX
HG02356	EAS	CDX
HG02360	EAS	CDX
HG02364	EAS	CDX
HG02367	EAS	CDX
HG02371	EAS	CDX
HG02373	EAS	CDX
HG02374	EAS	CDX
HG02375	EAS	CDX
HG02379	EAS	CDX
HG02380	EAS	CDX
HG02382	EAS	CDX
HG02383	EAS	CDX
HG02384	EAS	CDX
HG02385	EAS	CDX
HG02386	EAS	CDX
HG02389	EAS	CDX
HG02390	EAS	CDX
HG02391	EAS	CDX
HG02392	EAS	CDX
HG02394	EAS	CDX
HG02395	EAS	CDX
HG02396	EAS	CDX
HG02397	EAS	CDX
HG02398	EAS	CDX
HG02399	EAS	CDX
HG02401	EAS	CDX
HG02402	EAS	CDX
HG02406	EAS	CDX
HG02407	EAS	CDX
HG02408	EAS	CDX
HG02409	EAS	CDX
HG02410	EAS	CDX
HG02419	AFR	ACB
HG02420	AFR	ACB
HG02425	AMR	PEL
HG02427	AFR	ACB
HG02433	AFR	ACB
HG02439	AFR	ACB
HG02442	AFR	ACB
HG02445	AFR	ACB
HG02449	AFR	ACB
HG02450	AFR	ACB
HG02455	AFR	ACB
HG02461	AFR	GWD
HG02462	AFR	GWD
HG02464	AFR	GWD
HG02465	AFR	GWD
HG02470	AFR	ACB
HG02471	AFR	ACB
HG02476	AFR	ACB
HG02477	AFR	ACB
HG02479	AFR	ACB
HG02481	AFR	ACB
HG02484	AFR	ACB
HG02485	AFR	ACB
HG02489	AFR	ACB
HG02490	SAS	PJL
HG02491	SAS	PJL
HG02493	SAS	PJL
HG02494	SAS	PJL
HG02496	AFR	ACB
HG02497	AFR	ACB
HG02501	AFR	ACB
HG02502	AFR	ACB
HG02505	AFR	ACB
HG02508	AFR	ACB
HG02511	AFR	ACB
HG02512	EAS	KHV
HG02513	EAS	KHV
HG02521	EAS	KHV
HG02522	EAS	KHV
HG02536	AFR	ACB
HG02537	AFR	ACB
HG02541	AFR	ACB
HG02545	AFR	ACB
HG02546	AFR	ACB
HG02549	AFR	ACB
HG02554	AFR	ACB
HG02555	AFR	ACB
HG02557	AFR	ACB
HG02558	AFR	ACB
HG02561	AFR	GWD
HG02562	AFR	GWD
HG02568	AFR	GWD
HG02570	AFR	GWD
HG02571	AFR	GWD
HG02573	AFR	GWD
HG02574	AFR	GWD
HG02577	AFR	ACB
HG02580	AFR	ACB
HG02582	AFR	GWD
HG02583	AFR	GWD
HG02585	AFR	GWD
HG02586	AFR	GWD
HG02588	AFR	GWD
HG02589	AFR	GWD
HG02594	AFR	GWD
HG02595	AFR	GWD
HG02597	SAS	PJL
HG02600	SAS	PJL
HG02601	SAS	PJL
HG02603	SAS	PJL
HG02604	SAS	PJL
HG02610	AFR	GWD
HG02611	AFR	GWD
HG02613	AFR	GWD
HG02614	AFR	GWD
HG02620	AFR	GWD
HG02621	AFR	GWD
HG02623	AFR	GWD
HG02624	AFR	GWD
HG02628	AFR	GWD
HG02629	AFR	GWD
HG02634	AFR	GWD
HG02635	AFR	GWD
HG02642	AFR	GWD
HG02643	AFR	GWD
HG02645	AFR	GWD
HG02646	AFR	GWD
HG02648	SAS	PJL
HG02649	SAS	PJL
HG02651	SAS	PJL
HG02652	SAS	PJL
HG02654	SAS	PJL
HG02655	SAS	PJL
HG02657	SAS	PJL
HG02658	SAS	PJL
HG02660	SAS	PJL
HG02661	SAS	PJL
HG02666	AFR	GWD
HG02667	AFR	GWD
HG02675	AFR	GWD
HG02676	AFR	GWD
HG02678	AFR	GWD
HG02679	AFR	GWD
HG02681	SAS	PJL
HG02682	SAS	PJL
HG02684	SAS	PJL
HG02685	SAS	PJL
HG02687	SAS	PJL
HG02688	SAS	PJL
HG02690	SAS	PJL
HG02691	SAS	PJL
HG02694	SAS	PJL
HG02696	SAS	PJL
HG02697	SAS	PJL
HG02699	SAS	PJL
HG02700	SAS	PJL
HG02702	AFR	GWD
HG02703	AFR	GWD
HG02715	AFR	GWD
HG02716	AFR	GWD
HG02721	AFR	GWD
HG02722	AFR	GWD
